time,potential,pair
9/28/2023 0:12,-188,2 to 4
9/28/2023 0:13,425,76.2 to 78.2
9/28/2023 0:14,-170,152.4 to 154.4
9/28/2023 0:15,780,226.6 to 228.6
9/28/2023 0:16,2610,2 to 78.2
9/28/2023 0:17,2790,2 to 154.4
9/28/2023 0:18,2540,2 to 228.6
9/28/2023 2:12,-185,2 to 4
9/28/2023 2:13,405,76.2 to 78.2
9/28/2023 2:14,-3,152.4 to 154.4
9/28/2023 2:15,663,226.6 to 228.6
9/28/2023 2:16,2580,2 to 78.2
9/28/2023 2:17,2720,2 to 154.4
9/28/2023 2:18,2480,2 to 228.6
9/28/2023 4:12,-138,2 to 4
9/28/2023 4:13,364,76.2 to 78.2
9/28/2023 4:14,311,152.4 to 154.4
9/28/2023 4:15,542,226.6 to 228.6
9/28/2023 4:16,2610,2 to 78.2
9/28/2023 4:17,2750,2 to 154.4
9/28/2023 4:18,2470,2 to 228.6
9/28/2023 6:12,-92,2 to 4
